barcode,product_name,category_input,group_name,enterprise,brand,sub_brand,category,flavor_1,flavor_2,flavor_3,process,certification,attribute_1,attribute_2,attribute_3,function_1,function_2,function_3,design_type,bundle_type,pack_type,pack_material,pack_quantity,pack_unit,spec,capacity,size,color,material,origin,grade,purity,target_user,scene,model
6932528410730,格来德单层电水壶WKF-318S,电热水瓶_电热水壶,电子配件类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6938736605081,安博尔电热水壶080/8805,电热水瓶_电热水壶,电子配件类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6938848874528,龙力牌电热壶1.8L,电热水瓶_电热水壶,电子配件类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6970056720167,茵浪半球电水壶1.8L1355W,电热水瓶_电热水壶,电子配件类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6973846760015,半球电热水壶1520A,电热水瓶_电热水壶,电子配件类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6975097030008,万利达电热水壶,电热水瓶_电热水壶,电子配件类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6976269740039,（万利达）304-25彩钢A8电热水壶,电热水瓶_电热水壶,电子配件类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6976084780050,万利达电热水壶,电热水瓶_电热水壶,电子配件类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6931124357319,优美家HC-5731迈动水壶1.2L,电热水瓶_电热水壶,电子配件类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6950610230516,苏泊尔电水壶.黑色SW-17S16L/台,电热水瓶_电热水壶,电子配件类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
