barcode,product_name,category_input,group_name,enterprise,brand,sub_brand,category,flavor_1,flavor_2,flavor_3,process,certification,attribute_1,attribute_2,attribute_3,function_1,function_2,function_3,design_type,bundle_type,pack_type,pack_material,pack_quantity,pack_unit,spec,capacity,size,color,material,origin,grade,purity,target_user,scene,model
6926691338410,珍爱卫生湿巾抽装80片,湿巾,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6950430806052,3M医用卫生湿巾,湿巾,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6953062903595,慕风女士私护柔湿巾18片,湿巾,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6959769405011,棉呼吸婴儿手口湿巾80片,湿巾,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6971476590224,萌小棉新生儿手口湿巾30片,湿巾,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6971768301774,花之雨润肤湿巾80片,湿巾,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6972979892495,爱舒柔纯水湿巾80片,湿巾,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6940074913865,雨森99.9%杀菌湿厕纸80片,湿巾,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6940074915524,雨森99%杀菌湿巾80片3包,湿巾,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6970288031765,倪润含酒精湿巾75%80片,湿巾,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6971537020721,甘布亲肤手口湿巾80抽,湿巾,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6959769406353,凯米熊婴幼儿手口湿巾80片,湿巾,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6971483740940,德佑企鹅湿厕纸80片,湿巾,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6974513300855,小熊熊亲肤可湿水抽纸M码340张10包,湿巾,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6931249723754,如初加厚棉柔EDI纯水湿巾102片,湿巾,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6972529109059,DL清洁卫生湿巾80片,湿巾,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6972529103125,半东来牌厨房湿巾40片,湿巾,日用洗护类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
